ID;Status;Agendamento;Analista;Agência;Gestor;Projeto;Técnico;Demanda;Descrição;Observação;Data de Abertura;Data de Finalização;Log Agendamento;Etapas_Concluidas
;NÃO INICIADO;2025-10-13;MARCELA;AG 3215 SALTO DO LONTRA-PR;SABRINA;Unificadas;Rafael Dimitrius;Instalação nova;"No dia 13/10/2025 às 09h

*             Validar infra

*             Fornecer e instalar as câmeras n° 14 (Dori-PG) e nº 15 (Dori-SIF) - Modelo da câmera a ser instalada:  FD9388-HTV CÂMERA OUTDOOR FIXED DOME, 5MP 20FPS, H.265/H.264 - NO AUDIO

*             Fornecer e instalar as câmeras n° 16 (Corredor dos Caixas )  e na  Tesouraria ( a atual não alcança  a porta)

Ajustar Câmera nº 13 (Escudo/B40)  - Focar melhor o Vigilante

*             Recolher todas as infras de CFTV remanescente

*             Verificar se há alguma infra para câmera no local que não constam no layout e nos avisar para ver a necessidade de instalação de novas câmeras

*             Verificar se as demais câmeras contempladas na normativa estão adequadas ao que é exigido pela Polícia Federal";;;;;
;NÃO INICIADO;2025-10-20;GIOVANA;AG 5631 RIO-TIJUCA;GILSON;Espaço Itaú;Jefferson Bittar;Reinstalação Parcial;"DIA 20/10 SEGUNDA-FEIRA 09hrs
Conjunta vistoria final
Reinstalar: AA + EXPEDIENTE + BATERIA CAIXAS
04 sísmicos ATMs
04 sensores
02 controles de acesso biométrico (portas de madeira)
02 câmeras
Fornecer e instalar:
01 kit fechadura eletromecânica – porta do abastecimento ";;;;;
;NÃO INICIADO;2025-10-17;GIOVANA;AG 5631 RIO-TIJUCA;GILSON;Espaço Itaú;Jefferson Bittar;Desinstalação Parcial;"DIA 17/10 SEXTA-FEIRA -  16hrs
Desinstalar: 
04 sísmicos ATMs
04 sensores
02 controles de acesso biométrico (portas de madeira)
02 câmeras
02 sirenes Alonso – em definitivo – recolher – excluir zonas 
01 kit áudio completo (AA e bateria caixas)";;;;;
;NÃO INICIADO;2025-10-14;MARCELA;AG 5365 DESTERRO DE ENTRE RIOS-MG;SABRINA;Unificadas;Jose Vieira;Instalação nova;"No dia 14/10/2025 às 09h

	Validar infra
	Fornecer e instalar a(s) câmera(s) n° 22 (Dori-PG) n° 23 (Dori - SIF) - Modelo da câmera a ser instalada:  FD9388-HTV CÂMERA OUTDOOR FIXED DOME, 5MP 20FPS, H.265/H.264 - NO AUDIO
	Fornecer e instalar a(s) câmera(s) n° 24 (Corredor dos caixas)  
	Recolher todas as infras de CFTV remanescente   
	Verificar se há alguma infra para câmera no local que não constam no layout e nos avisar para ver a necessidade de instalação de novas câmeras.
	Verificar se as demais câmeras contempladas na normativa estão adequadas ao que é exigido pela Polícia Federal
";;;;;
;NÃO INICIADO;2025-09-23;MARCELA;AG 0925 BELO HORIZONTE-SAVASSI;SABRINA;Moderzinação;Eduardo Duarte;Instalação nova;"	Realizar vistoria de infra
	Fornecer e instalar a(s) câmera(s) n° 25 (Dori-PG) e 26 (Dori-SIF) - Modelo da câmera a ser instalada:  FD9388-HTV CÂMERA OUTDOOR FIXED DOME, 5MP 20FPS, H.265/H.264 - NO AUDIO
	Fornecer e instalar a(s) câmera(s) n° 27 (escudo), 28 (tesouraria), 23 (espera)
	Verificar se há alguma infra para câmera no local que não constam no layout e nos avisar para ver a necessidade de instalação de novas câmeras
	Verificar se as demais câmeras contempladas na normativa estão adequadas ao que é exigido pela Polícia Federal";;;;;
;NÃO INICIADO;2025-10-19;MARCELA;AG 0689 BELO HORIZONTE-PAMPULHA;SABRINA;Empreenda;Eduardo Duarte;Desinstalação Parcial;19.10.2025 (domingo) às 10:00 h: Reinstalação de 07 SENSORES DE PRESENÇA, 01 SISMICO do TCR e das CÂMERAS 03, 12, 13 e 24 e 01 BIOMETRIA remanejadas;;;;;
;NÃO INICIADO;2025-10-17;MARCELA;AG 0689 BELO HORIZONTE-PAMPULHA;SABRINA;Empreenda;Eduardo Duarte;Desinstalação Parcial;"SEGURANÇA:
- 17.10.2025 (6a.feira) às 17:00 h: Desinstalação de 07 SENSORES DE PRESENÇA, 01 SISMICO do TCR; desinstalação das CÂMERAS 03, 12, 13 e 24 e desinstalação de 01 BIOMETRIA para remanejamento;";;;;;
;NÃO INICIADO;2025-10-16;MARCELA;AG 1688 CURITIBA-XAXIM;SABRINA;Unificadas;Maicon Mendes;Desinstalação Parcial;"Seguir com a demanda abaixo:
No dia 16/10/2025 às 11h00 Desativação do sísmico.";;;;;
;NÃO INICIADO;2025-10-01;MARCELA;AG 0058 ORLANDIA-SP;DANILO;Unificadas;Leandro Prata;Instalação nova;"Favor seguir com a demanda abaixo:
No dia 01/10/2025 às 09h
 
Validar infra
Fornecer e instalar a(s) câmera(s) n° 31 (Dori-PG) e 32 (Dori-SIF) - Modelo da câmera a ser instalada:  FD9388-HTV CÂMERA OUTDOOR FIXED DOME, 5MP 20FPS, H.265/H.264 - NO AUDIO
Remanejar câmera 20 (da área de descanso para o escudo)
Ajustar foco da câmera 15 de forma a pegar o cofre CBL
Recolher todas as infras de CFTV remanescente
Verificar se há alguma infra para câmera no local que não constam no layout e nos avisar para ver a necessidade de instalação de novas câmeras
Verificar se as demais câmeras contempladas na normativa estão adequadas ao que é exigido pela Polícia Federal
 ";;;;;
;NÃO INICIADO;2025-10-13;GIOVANA;AG 0389 RIO-BOTAFOGO;GILSON;Novo Alto atendimento;Francisco Gilney;Reinstalação Parcial;13/10/2024 até às 11h- REINSTALAR 01 Sensor sísmico do AA06 e instalar novos sensores sísmicos para o AA08 NO 30H00 e AA09 NO 06H00 (Acréscimos) – DO ESTOQUE. ;;;;;
;NÃO INICIADO;2025-10-10;GIOVANA;AG 0389 RIO-BOTAFOGO;SABRINA;Novo Alto atendimento;Francisco Gilney;Desinstalação Parcial;10/10/2025 até às 11h - DESINSTALAR 01 SENSORE SÍSMICO – AA06;;;;;
;NÃO INICIADO;2025-10-03;MONIQUE;AG 0622 SP-AV ITABERABA;DANILO;Dori Doors;Manossesi Gonzales;Instalação nova;"No dia 03/10/2025 às 09h
Validar infra
Instalar 01 NVR 16 canais
Fornecer e instalar a(s) câmera(s) n° 34 (Dori-PG) e 35 (Dori-SIF) - Modelo da câmera a ser instalada:  FD9388-HTV CÂMERA OUTDOOR FIXED DOME, 5MP 20FPS, H.265/H.264 - NO AUDIO
Fornecer e instalar a(s) câmera(s) n° 36 (biombo) e 37 (escudo/cofre B40)
Recolher todas as infras de CFTV remanescente
Verificar se há alguma infra para câmera no local que não constam no layout e nos avisar para ver a necessidade de instalação de novas câmeras
Verificar se as demais câmeras contempladas na normativa estão adequadas ao que é exigido pela Polícia Federal
Importante!  Não substituir nenhum ponto de câmera existente.";;;;;
;NÃO INICIADO;2025-10-10;MONIQUE;AG 3099 SP-SHOPPING CENTER IBIRAPUERA;ROSEANE;Encerramento;Flavio Pacheco;Desinstalação Total;"10/10/2025 às 23h00
	Por se tratar de um shopping, favor se atentar aos horários, pois não existe corredor técnico.
	Desativar e recolher todos os equipamentos de segurança p/ encerramento.
	Desinstalar, embalar e recolher todos os equipamentos de segurança, inclusive a bandeja de CFTV.
	Enviar book e lista dos equipamentos recolhidos, conforme acordamos em reunião.
";;;;;
;NÃO INICIADO;2025-10-20;GIOVANA;AG 6031 SAO JOAO DE MERITI-MATRIZ;GILSON;Espaço Itaú;Francisco Gilney;Reinstalação Parcial;Dia 20.10.25 - 09h - Ativar 01 Câmera + 01 sensor + 01 teclado - acesso eclusa área de abastecimento + ativação sistema da porta eclusa  ;;;;;
;NÃO INICIADO;2025-10-17;GIOVANA;AG 6031 SAO JOAO DE MERITI-MATRIZ;GILSON;Espaço Itaú;Francisco Gilney;Desinstalação Parcial;Dia 17.10.25 - 16h - Desativar - 01 Câmera + 01 sensor + 01 teclado - acesso eclusa área de abastecimento                                                                                                                                                                                                                          ;;;;;
;NÃO INICIADO;2025-10-13;MONIQUE;AG 0758 SP-AFONSO BRAS;GILSON;Espaço Itaú;Flavio Pacheco;Reinstalação Parcial;"Dia 13/10/25 às 09H - Reinstalar teclado da porta do AA 6H e remanejamento das câmeras 13, 14, 15, 16, 23 e 2 sensores. 
+ Acréscimo de 1 sensor (ENVIAR ESTOQUE itau)";;;;;
;NÃO INICIADO;2025-10-10;MONIQUE;AG 0758 SP-AFONSO BRAS;GILSON;Espaço Itaú;Flavio Pacheco;Desinstalação Parcial;Dia 10/10/25 às 16H - Desativar biometria e teclado da porta AA 6H.;;;;;
;NÃO INICIADO;2025-10-13;GIOVANA;AG 1558 UBA-MG;GILSON;Reforma 2020;Matheus Vieira;Reinstalação Parcial;"13/10/2025 – segunda-feira – 09hrs
Conjunta vistoria: TODA AGÊNCIA
Remanejar os cabos para fora das calhas antigas
Obs:  Priorizar  funcionamento da tesouraria segura (modulo io ativado ) e abastecimento em seguida";;;;;
;NÃO INICIADO;2025-10-10;GIOVANA;AG 1558 UBA-MG;GILSON;Reforma 2020;Matheus Vieira;Desinstalação Parcial;"10/10/2025 – sexta-feira – 16hrs
Desinstalar : TODA AGÊNCIA 
Remanejar os cabos para fora das calhas antigas";;;;;
;NÃO INICIADO;2025-10-02;MARCELA;AG 0045 SAO JOSE DO RIO PRETO-SP;SABRINA;Empreenda;Leandro Prata;Desinstalação Parcial;"Quinta - feira 02/10 às 9 hs – Programar desativações com remanejamentos conforme abaixo todos os pontos estão no pavimento superior.
11 sensores presença
03 câmeras";;;;;
;NÃO INICIADO;2025-10-14;MARCELA;AG 0030 ATIBAIA-SP;SABRINA;Empreenda;Paulo Falcon;Reinstalação Parcial;"Reinstalar: 2 câmeras n° 20 e n°21 + 2 sensores
Instalar: 2 câmeras n° 37 e n° 38 + 4 sensores + 1 biometria porta de vidro – Novo ";;;;;
;NÃO INICIADO;2025-10-10;MARCELA;AG 0030 ATIBAIA-SP;SABRINA;Empreenda;Paulo Falcon;Desinstalação Parcial;"No dia10/10/2025 – às 16H
Desinstalar: 2 câmeras n° 20 e n° 21 + 2 sensores.";;;;;
;NÃO INICIADO;2025-10-13;MARCELA;AG 0426 SAO JOAQUIM DA BARRA-SP;SABRINA;Novo Alto atendimento;Leandro Prata;Desinstalação Parcial;"No dia 10/10/2025 – às 18H
Desinstalar
2 sensores + 1 câmera n° 07 + 7 sísmico + 1 controle biométrico";;;;;
;NÃO INICIADO;2025-10-10;MARCELA;AG 0426 SAO JOAQUIM DA BARRA-SP;SABRINA;Novo Alto atendimento;Leandro Prata;Reinstalação Parcial;"No dia 13/10/2025 – às 09H
Reinstalar
2 sensores + 1 câmera n° 07 + 7 sísmico + 1 controle biométrico

Instalar
2 sísmico";;;;;
;NÃO INICIADO;2025-10-13;MARCELA;AG 8457 TIJUCAS-SC;SABRINA;Novo Alto atendimento;Ismael Geci;Reinstalação Parcial;"No dia 13/10/2025 – às 09H
Reinstalar
2 sensores + 1 Gerador de neblina + 2 sísmicos.

Obs.; Manter em estoque 1 sensor sísmico.";;;;;
;NÃO INICIADO;2025-10-10;MARCELA;AG 8457 TIJUCAS-SC;SABRINA;Novo Alto atendimento;Ismael Geci;Desinstalação Parcial;"Seguir com a demanda abaixo:
No dia 10/10/2025 – às 18H
Desinstalar
2 sensores + 1 gerador de neblina + 3 sísmicos.";;;;;
;NÃO INICIADO;2025-10-13;MARCELA;AG 0937 BELO HORIZONTE-AV. DOM PEDRO II;SABRINA;Empreenda;Eduardo Duarte;Desinstalação Parcial;"Seguir com a demanda abaixo e realizar a vistoria conjunta 
DIA 13/10 APÓS AS 10 HORAS
-  REMANEJAMENTO DE 05 SENSORES
-  INSTALAÇÃO DE 1 SENSOR - Novo
- REMANEJAMENTO DE 4 CAMERAS + 1 câmera 
- INSTALAÇÃO DE 1 CONTROLE DE ACESSO EM PORTA DE VIDRO. Novo
REDUÇÃO DE 1 CAMERA - proibido reduzir a quantidade de câmeras na agência, por causa do plano de segurança da PF. Por favor, instalar em outro local ou ambiente. ";;;;;
;NÃO INICIADO;2025-10-15;MARCELA;AG 0268 SANTOS-PRAIA GONZAGA;SABRINA;Empreenda;Manoel Xavier;Reinstalação Parcial;"Seguir com a demanda e realizar a vistoria conjunta
No dia 15/10/2025 as 09:00hrs
Reinstalar as câmeras 12,13,14,43,44,45,46,28 e 29 + 6 sensores IVPs 
Instalar novo 1 fechadura com biometria para a porta de vidro de acesso aos mesões ";;;;;
;NÃO INICIADO;2025-10-20;MARCELA;AG 3773 SANTA HELENA-PR;GILSON;Espaço Itaú;Rafael Dimitrius;Reinstalação Parcial;"•	ATIVAR DIA 20/10/25 ÁS 09:00H ==> 
02 SISMICOS AA (REAPROVEITAR O SISMICO DO TCR)  
01 BIOMETRIA PORTA EXPEDIENTE REMANEJADA
01 TECLADO ALARME PORTA AA REMANEJADA 
01 SENSOR ABASTECIMENTO
01 TECLADO PORTA AA ABASTECIMENTO  
FORNECER E INSTALAR:
01 KIT FECHADURA ELETROMECANICA – PORTA DO ABASTECIMENTO";;;;;
;NÃO INICIADO;2025-10-17;MARCELA;AG 3773 SANTA HELENA-PR;GILSON;Espaço Itaú;Rafael Dimitrius;Desinstalação Parcial;"SEGURANÇA – 
17/10/25 ÁS 16:00H – OBS.: Enviar kit fechadura eletromecânica do abastecimento e validar infra na segunda-feira 20/10/25 
•	DESATIVAR DIA 17/10/25 ÁS 18:00H ==> 
01 SISMICO AA 
01 SISMICO TCR
01 BIOMETRIA PORTA EXPEDIENTE 
01 SENSOR ABASTECIMENTO
01 TECLADO PORTA AA ABASTECIMENTO  ";;;;;
;NÃO INICIADO;2025-10-13;MARCELA;AG 0670 CAMPINAS-TAQUARAL;GILSON;Espaço Itaú;Fabio Barbosa;Reinstalação Parcial;"Conjunta vistoria final
Reinstalar: AA + TESOURARIA + BACKOFFICE
02 teclados (01 abastecimento + 01 tesourria)
06 sismicos  (04 ATMs + 02 tesouraria)
02 bases metálicas
06 sensores IVPs (04 AA e abastecimento + 02 tesouraria)
11 câmeras (09 AA e abstecimento + 02 tesouraria)
03 geradores (02 AA + 01 Tesouraria )
01 caixa de gerador
03 grelhas
01 sirene rontan 
01 controle de acesso porta do backoffice
Fornecer e instalar
01 kit fechadura eletromecânica – porta do abastecimento";;;;;
;NÃO INICIADO;2025-10-10;MARCELA;AG 0670 CAMPINAS-TAQUARAL;GILSON;Espaço Itaú;Fabio Barbosa;Desinstalação Parcial;"10/10/2025 – sexta-feira – 16hrs
Desinstalar: AA + TESOURARIA + BACKOFFICE
01 áudio completo (bateria caixas + AA) - recolher
02 sirenes Alonso (abastecimento e externa) – recolher e excluir zona
01 sísmico ATM – recolher e excluir zona
02 teclados (01 abastecimento + 01 tesourria)
06 sismicos  (04 ATMs + 02 tesouraria)
02 bases metálicas
06 sensores IVPs (04 AA e abastecimento + 02 tesouraria)
11 câmeras (09 AA e abstecimento + 02 tesouraria)
03 geradores (02 AA + 01 Tesouraria )
01 caixa de gerador
03 grelhas
01 sirene rontan 
01 controle de acesso porta do backoffice";;;;;
;NÃO INICIADO;2025-10-20;MARCELA;AG 2909 PALOTINA-PR;GILSON;Espaço Itaú;Rafael Dimitrius;Reinstalação Parcial;"
DIA 20/10/25 às 09:00H 
REATIVAR
03 SISMICOS AA 
04 CAMERAS (23 / 14 / 13 / 12)
Fornecer e instalar:
01 kit fechadura eletromecânica , porta do abastecimento";;;;;
;NÃO INICIADO;2025-10-17;MARCELA;AG 2909 PALOTINA-PR;GILSON;Espaço Itaú;Rafael Dimitrius;Desinstalação Parcial;"INÍCIO 17/10/25 às 16:00H 
DESATIVAR :
02 AUDIO  (RECOLHER)
02 SIRENES ALONSO  (RECOLHER)
01 SISMICO TCR (RECOLHER)
03 SISMICOS AA 
04 CAMERAS (23 / 14 / 13 / 12)";;;;;
;NÃO INICIADO;2025-10-10;GIOVANA;AG 5631 RIO-TIJUCA;GILSON;Espaço Itaú;Jefferson Bittar;Desinstalação Parcial;"Dia 10.10.25 – sexta-feira - 16h  
Desinstalar: BATERIA DE CAIXAS + 1º PAVIMENTO + AA
01 sensor
01 câmera 
02 controles de acesso biométricos 
02 sirenes Alonso (Abastecimento e externa) – recolher
01 kit áudio completo (AA + bateria de caixas)
02 sísmicos TCRs – recolher ";;;;;
;NÃO INICIADO;2025-10-13;GIOVANA;AG 6895 SAO GONCALO-COLUBANDE;GILSON;Espaço Simplificado;Francisco Gilney;Reinstalação Parcial;"13/10/2025 – segunda-feira – 09hrs
Conjunta vistoria final : 
Reinstalar: : AA 
02 sísmicos ATMs (OPTIVA) 
Fornecer e  instalar:
01 kit fechadura eletromecânica – porta do abastecimento";;;;;
;NÃO INICIADO;2025-10-10;GIOVANA;AG 6895 SAO GONCALO-COLUBANDE;GILSON;Espaço Simplificado;Francisco Gilney;Desinstalação Parcial;"Segue programação:
10/10/2025 – sexta-feira – 16hrs
Desinstalar : AA 
02 sísmicos ATMs ";;;;;
;NÃO INICIADO;2025-10-08;GIOVANA;AG 1558 UBA-MG;GILSON;Reforma 2020;Matheus Vieira;Reinstalação Parcial;"Vamos reinstalar tudo no mesmo dia  - INFRA PROVISÓRIA:
08/10/2025 – quarta-feira 17hrs
Conjunta vistoria infra (PROVISÓRIA)
Desinstalar e reinstalar (mesmo dia ): AA
10 sísmicos ATMs";;;;;
;NÃO INICIADO;2025-10-06;GIOVANA;PERSONNALITE 3820 RIO BRANCO;GILSON;Espaço Person;Francisco Gilney;Reinstalação Parcial;"06/10/2025 – segunda-feira -09hrs
Conjunta vistoria infra 
Reinstalar todos os sistemas nos cabos novos
Acrescentar  (pontos novos):
11 sensores (térreo e gerência)
03 câmera (térreo e gerência)";;;;;
;NÃO INICIADO;2025-10-03;GIOVANA;PERSONNALITE 3820 RIO BRANCO;GILSON;Espaço Person;Francisco Gilney;Desinstalação Total;"03/10/2025 – sexta-feira – 17hrs
Desinstalação total : Cabos antigos de segurança ";;;;;
;NÃO INICIADO;2025-10-13;GIOVANA;AG 8803 RIO TOPAZIO;GILSON;Espaço Simplificado;Francisco Gilney;Reinstalação Parcial;"13/10/2025 – segunda-feira – 09hrs
Conjunta vistoria final
Reinstalar: AA
08 Sísmico (CEI)
Fornecer  instalar:
01 kit fechadura eletromecânica porta do abastecimento ";;;;;
;NÃO INICIADO;2025-10-10;GIOVANA;AG 8803 RIO TOPAZIO;GILSON;Espaço Simplificado;Francisco Gilney;Desinstalação Parcial;" 
10/10/2025 – sexta-feira -  16hrs
Desinstalar:
08 Sísmico (CEI)
 ";;;;;
;NÃO INICIADO;2025-10-20;GIOVANA;AG 0269 RIO-POSTO 6;GILSON;Espaço Simplificado;Jefferson Bittar;Reinstalação Parcial;"20/10/2025 – segunda-feira – 09hrs
Conjunta vistoria final
Reinstalar: AA
08 Sísmico (CEI)
Fornecer  instalar:
01 kit fechadura eletromecânica porta do abastecimento ";;;;;
;NÃO INICIADO;2025-10-17;GIOVANA;AG 0269 RIO-POSTO 6;GILSON;Espaço Simplificado;Jefferson Bittar;Desinstalação Parcial;"17/10/2025 – sexta-feira -  16hrs
Desinstalar:
08 Sísmico (CEI)";;;;;
;NÃO INICIADO;2025-10-10;MONIQUE;AG 0285 SP-MARACATINS;SABRINA;Empreenda;Flavio Pacheco;Instalação nova;"DATA ATIVAÇÃO | 10/10/2025. LAYOUT PROPOSTO EM ANEXO 
 
Ativar câmeras 10;11;12:13;14
Ativar sensores nas áreas;
03 mesão
01 sala de espera 
01 sala de reunião  
01 sensor fechadura biométrica (porta de vidro)";;;;;
;NÃO INICIADO;2025-10-06;GIOVANA;AG 6895 SAO GONCALO-COLUBANDE;GILSON;Espaço Itaú;Francisco Gilney;Reinstalação Parcial;"06/10/2025 – segunda-feira – 09hrs
Conjunta vistoria  infra : 
Reinstalar: : AA 
07 sísmicos ATMs (02 CEI + 05 recicladores) – enviar 01 sísmicos de agência encerrada – estoque Itau ";;;;;
;NÃO INICIADO;2025-10-03;GIOVANA;AG 6895 SAO GONCALO-COLUBANDE;GILSON;Espaço Itaú;Francisco Gilney;Desinstalação Parcial;"Segue programação:
03/10/2025 – sexta-feira – 16hrs
Desinstalar : AA 
06 sísmicos ATMs (02 CEI + 04 recicladores)";;;;;
;NÃO INICIADO;2025-10-13;MONIQUE;AG 0010 FRANCO DA ROCHA-SP;SABRINA;Empreenda;Lucas Gonzalez;Reinstalação Parcial;"DIA 13/10 APÓS AS 09 H
REINSTALAR
- 3 SENSORES
- 1 CAMERA
INSTALAR NOVOS:
- 7 SENSORES
- 2 CAMERAS
- CONTROLES DE ACESSO:  1 PORTA VIDRO E 1 EM MADEIRA";;;;;
;NÃO INICIADO;2025-10-10;MONIQUE;AG 0010 FRANCO DA ROCHA-SP;SABRINA;Empreenda;Lucas Gonzalez;Desinstalação Parcial;"SEXTA DIA 10/10 APÓS AS 17 HORAS.
DESINSTALAR
-  3 SENSORES
- 1 CAMERA";;;;;
